ID,postText_clean,targetTitle_clean,targetDescription
36,NYT Science,Artemis II mission breaks record for farthest human travel from Earth,"NASA’s Orion capsule traveled 400,000 kilometers away from our home planet."
37,Yahoo News,Air Force erases first female Thunderbird pilot's achievements from websites,Removal of Major Michelle Curran's bio sparks debate over digital archiving.
38,Fox News,Probe to snare Iran rescue leaker 'underway' as Trump threatens jail,The White House seeks to identify who leaked the specifics of the airman rescue mission.
39,CNN Health,"Flu shot effective at keeping kids out of hospital, new CDC data shows",High efficacy rates reported for the 2025-2026 pediatric flu season.
40,NYT Business,Berkshire Hathaway cash pile hits record $200B,Warren Buffett maintains a massive liquidity position as he waits for investment opportunities.
41,Fox News,"Home robot cooks, cleans and organizes your life",A new consumer-grade domestic robot is unveiled at the 2026 Tech Expo.
42,CNN Politics,Trump signs executive order cutting federal USAID funding,The 'One Big Beautiful Bill' initiative redirects funds toward domestic border security.
43,Yahoo News,US National Debt surpasses $35 trillion as interest rates remain high,Treasury report highlights the fiscal challenges facing the federal budget in 2026.
44,NYT World,Russian satellites surveyed 36 Middle Eastern 'objects' before Iranian strikes,Intelligence reports suggest collaboration between Moscow and Tehran in the conflict.
45,Fox News,Mets make amends with team legend involved in Astros' sign-stealing scandal,Carlos Beltran returns to the organization in a front-office capacity.
46,CNN Business,"Kalshi CEO expects feds to probe ""bad actors"" on prediction markets",Rising use of betting platforms for election outcomes draws regulatory scrutiny.
47,NYT Science,Perseverance rover identifies liquid water signatures in Martian crater,"NASA scientists provide proof of active, salty water on the Martian surface."
48,Yahoo News,"Apple unveils ""Apple Intelligence Pro"" for enterprise-grade privacy",New suite allows companies to keep AI data on-device rather than in the cloud.
49,Fox News,ICE arrests illegal immigrant accused of kidnapping 4-year-old girl from laundromat,Enforcement officers detain a suspect in a high-profile child abduction case.
50,CNN Politics,"""Signalgate"" scandal erupts over leaked security group chats",Leaks from the encrypted app Signal reveal tensions within the national security council.
51,NYT Business,Walmart replaces physical price tags with digital screens in all US stores,The retail giant moves toward a fully digital pricing infrastructure for 2026.
52,Yahoo Finance,Nvidia hits $4 trillion market cap as Blackwell chip demand surges,The AI chipmaker becomes the first company to reach the historic valuation.
53,Fox News,Former Virginia Gov Glenn Youngkin hints at political future,"Youngkin says he is ""chomping at the bit"" to return to the national stage."
54,CNN Health,Hemp and CBD products included in new Medicare pilot program,The administration explores alternative treatments for chronic pain under federal coverage.
55,NYT World,Ukraine strikes Russian energy hub Novorossiysk with drones,Kyiv continues its campaign against Russian Black Sea infrastructure.
56,Yahoo News,Google is killing millions of web links to save a few bucks,Technical report on how search engine indexing is changing the archived web.
57,Fox News,DHS reveals how relatives of terror architect were allowed into US,A national security vulnerability report exposes flaws in the visa vetting system.
58,CNN Politics,Trump fires National Archivist Colleen Shogan,The dismissal follows disputes over the storage of classified documents from the 2024 cycle.
59,NYT Science,James Webb Space Telescope detects atmosphere on Trappist-1e exoplanet,A major milestone in the search for habitable worlds beyond our solar system.
60,Yahoo News,DOGE staffer resigns over racist posts found on social media,The Department of Government Efficiency faces its first major personnel scandal.
61,Fox News,Red Lobster's push for cheap deals may be backfiring as losses pile up,"Restaurant industry experts analyze the failure of the ""Endless Shrimp"" promotion."
62,CNN Business,US unemployment for prime-age women hits all-time low of 78.5%,Labor data shows record participation for women in the 25-54 age demographic.
63,NYT Opinion,Why am I watching people get their medical results?,"An essay on the cultural phenomenon of ""diagnostic TikTok"" and medical privacy."
64,Yahoo News,UK schools implement total ban on mobile devices to improve focus,"One year after the policy began, test scores show a measurable improvement."
65,Fox News,Victor Wembanyama injury right before playoffs puts MVP candidacy at risk,Spurs fans await updates on the star's ankle sprain ahead of the play-in tournament.
66,CNN World,"Vance, Orban, and Trump: MAGA's global model faces test in Hungary",Vice President J.D. Vance meets with Prime Minister Viktor Orban in Budapest.
67,NYT World,Hamas releases all living hostages as part of final Gaza agreement,The Red Cross confirms the successful transfer of the remaining captives.
68,Yahoo News,First 3D-printed heart successfully transplanted in landmark surgery,Surgeons in Boston report the patient is recovering well after the 12-hour procedure.
69,Fox News,WrestleMania 42 card revealed as main events and major matches are set,The WWE prepares for its flagship event in Las Vegas this weekend.
70,CNN Tech,Gemini 3.1 Ultra launches with 2M-token context and multimodal reasoning,Google's latest AI model can process entire libraries of text in a single prompt.
71,NYT Business,Starbucks names new CEO after union negotiations reach national deadlock,The coffee giant seeks fresh leadership to handle its ongoing labor disputes.
72,Yahoo Finance,Ethereum 3.0 proposal promises 100k transactions per second,"The core dev team outlines a new ""Super-Sharding"" roadmap for the network."
73,Fox News,"Ilhan Omar calls Trump an 'unhinged lunatic,' urges booting him from office",The Congresswoman reacts to the President's latest comments on the Iran conflict.
74,CNN Politics,Pentagon purges thousands of websites on Holocaust and cancer awareness,"A massive digital audit removes ""non-mission essential"" sites from military servers."
75,NYT Science,Solar Storm of May 2025 caused widespread satellite disruptions,Researchers publish the final impact report on the largest geomagnetic storm in 20 years.
76,Yahoo News,Harriet Tubman restored to National Park Service webpage after backlash,The Underground Railroad site was briefly removed during a website overhaul.
77,Fox News,SNL' star Chloe Fineman faces backlash after camp counselor comments,Social media erupts over a story the actress shared during a recent interview.
78,CNN World,US military recovers second airman in high-risk mission inside Iran,CIA Director describes the rescue as a pivotal moment in the current conflict.
79,NYT Business,California blocks mass firings at Consumer Financial Protection Bureau,"A district judge rules against the administration's plan to lay off 1,500 federal workers."
80,Yahoo Finance,Goldman Sachs predicts AI will contribute 7% to global GDP by 2030,"The financial giant upgrades its economic forecast based on ""Agentic AI"" adoption."
81,Fox News,Blake Lively risks becoming a 'pariah' like Amber Heard: experts,Media analysts discuss the actress's legal and public relations challenges.
82,CNN Health,RSV immunization period extended as virus continues late-season spread,Health officials urge parents to continue preventative measures through April.
83,NYT Archives,National Park Service restores old Underground Railroad webpage,"The page, which prominently features Harriet Tubman, was re-added on April 7, 2025."
84,Yahoo News,"GTA VI release date officially set for November 21, 2025",Rockstar Games ends years of speculation with a definitive launch announcement.
85,Fox News,Steve Forbes: Europe's attacks on US tech firms must stop,The media mogul argues against EU regulations targeting Google and Meta.
86,CNN Politics,Shawn Harris enters runoff in Georgia's 14th District,The Democratic candidate seeks to flip the seat formerly held by the GOP.
87,NYT World,Iran sent a 10-point response to US proposals for ending the war yesterday,Mediation efforts continue via Pakistan as the Wednesday deadline looms.
88,Yahoo News,"Scientists revive 46,000-year-old virus from Siberian permafrost",Researchers warn of potential pathogens emerging from melting ice.
89,Fox News,Alyssa Bradburn's courtroom demeanor draws attention during trial,Legal analysts and viewers weigh in on the high-profile defendant's behavior.
90,CNN Business,Amazon introduces fuel surcharges for sellers starting this week,The company cites the impact of the Middle East conflict on transportation costs.
91,NYT Business,"SEC approves first ""Ether Spot ETF"" following Bitcoin's success",Financial markets open to direct Ethereum investment for the first time.
92,Yahoo News,Inter Miami wins first MLS Cup behind Lionel Messi brace,The legendary forward leads his team to a championship in the 2025 season.
93,Fox News,Victor Wembanyama's MVP candidacy at risk after latest injury,An ankle sprain could keep the Spurs' big man out of the final week of play.
94,CNN Health,The BE FAST acronym for identifying a mini-stroke,Health professionals launch a new public awareness campaign on TIA signs.
95,NYT Opinion,How Good is Our Intelligence on Iran?,A deep dive into the accuracy of the CIA's assessments during the 2026 war.
96,Yahoo Finance,"Bitcoin finishes 2025 at $88,400 after reaching record highs",A recap of the digital asset's most volatile year on record.
97,Fox News,Trump commandeers Cabinet members to campaign in midterms,The President orders officials to mute controversial stances before the elections.
98,CNN World,"5 things to know for April 7: Historic spaceflight, Tax refunds, Iran war",A morning roundup of the most critical news across the globe.
99,NYT World,Pentagon expanding list of Iranian energy sites it can target,Defence officials look to include fuel sites that support the Iranian military.
100,Yahoo News,Charlie Kirk killed in shooting during debate at Utah Valley University,The TPUSA founder's assassination in September 2025 remains a central story in 2026.
